Time;Iterations;Result;Maximum;Minimum;REST;warmUp;WS
0:00:23;49493;4278.1643645936;105603.200199379;37.7454352292;2131.0462946357;0;1636.8428033362
0:00:24;52440;4674.2374355563;105603.200199379;37.7454352292;2162.0973052083;0;1753.6834551419
0:00:25;55841;3097.9644514775;105603.200199379;37.7454352292;2193.9647273047;0;1964.9763703827
0:00:26;58845;2999.3384958947;105603.200199379;37.7454352292;2222.6329054553;0;2177.2903901787
0:00:27;61703;3074.0418011893;105603.200199379;37.7454352292;2244.4677543626;0;2379.6028730894
0:00:28;64674;3029.9423753439;105603.200199379;37.7454352292;2266.7676686493;0;2578.3519996374
0:00:29;67738;2609.6624526881;105603.200199379;37.7454352292;2291.5709966369;0;2763.6695350941
0:00:30;70748;4742.1793282618;105603.200199379;37.7454352292;2313.1249876135;0;2939.4972494446
0:00:31;73652;3536.6980700698;116422.025184413;37.7454352292;2332.1168891411;0;3094.1235891909
0:00:32;76594;26446.8405281963;116422.025184413;37.7454352292;2350.7039969766;0;3243.4653168473
0:00:33;79386;2043.5730231277;116422.025184413;37.7454352292;2363.4385270481;0;3390.1210414842
0:00:34;82360;3813.1143832886;116422.025184413;37.7454352292;2378.5115554184;0;3521.7173993738
0:00:35;85466;1869.9439054227;116422.025184413;37.7454352292;2396.7122790405;0;3641.4375183675
0:00:36;88560;41203.4540031422;133071.979964683;37.7454352292;2415.2435069474;0;3764.3103820836
0:00:37;91736;3645.9976880729;133071.979964683;37.7454352292;2435.3984407075;0;3880.5818036044
0:00:38;95099;3421.2167509478;133071.979964683;37.7454352292;2456.9396485185;0;3987.6607934041
0:00:40;98523;20076.0238872563;133071.979964683;37.7454352292;2477.7773790861;0;4108.3905416977
0:00:41;101906;3640.536750545;133071.979964683;37.7454352292;2497.8155221826;0;4218.9969023921
0:00:42;105272;2986.7512196025;133071.979964683;37.7454352292;2518.3881644174;0;4311.3766321154
0:00:43;108704;3348.6435549093;133071.979964683;37.7454352292;2537.3912682224;0;4401.4393448291
0:00:44;112214;3417.1381918705;133071.979964683;37.7454352292;2557.2049790999;0;4484.8927629517
0:00:45;115817;6534.5985100201;133071.979964683;37.7454352292;2576.9979766247;0;4576.2002388849
0:00:46;119242;3313.4517393103;133071.979964683;37.7454352292;2594.1784920619;0;4686.6645586461
0:00:47;122843;1597.6088269166;133071.979964683;37.7454352292;2613.7170476075;0;4785.8396846319
0:00:48;126371;5253.294143759;133071.979964683;37.7454352292;2630.5823088096;0;4886.2602564259
0:00:49;129751;4907.5171040467;133071.979964683;37.7454352292;2645.0654036915;0;4929.202624105
0:00:50;133420;3645.6640567965;133071.979964683;37.7454352292;2664.2305455981;0;4973.7063017401
0:00:51;137019;3298.4370784701;133071.979964683;37.7454352292;2681.5410438033;0;5033.5716641443
